group,date,value
LG1,12:00,84.87096774
LG7,12:00,124.2580645
McD,12:00,31.70967742
CHI,12:00,13.48387097
LSK,12:00,8.451612903
LG1,12:30,171.5483871
LG7,12:30,210.5806452
McD,12:30,51.48387097
CHI,12:30,35.48387097
LSK,12:30,14.77419355
LG1,13:00,232.5806452
LG7,13:00,292.9032258
McD,13:00,72.03225806
CHI,13:00,64.80645161
LSK,13:00,20.51612903
LG1,13:30,221.8709677
LG7,13:30,260.6774194
McD,13:30,75.25806452
CHI,13:30,69.51612903
LSK,13:30,18.83870968
LG1,14:00,140.6774194
LG7,14:00,140.8709677
McD,14:00,59.22580645
CHI,14:00,50.29032258
LSK,14:00,11.61290323
