group,date,value
LG1,08:00,34.67741935
LG7,08:00,31.22580645
McD,08:00,10.22580645
CHI,08:00,0.032258065
LSK,08:00,1.967741935
STAR,08:00,0
LG1,08:30,67.4516129
LG7,08:30,49.25806452
McD,08:30,19.16129032
CHI,08:30,0.032258065
LSK,08:30,2.516129032
STAR,08:30,0
LG1,09:00,117.8387097
LG7,09:00,52.22580645
McD,09:00,23.87096774
CHI,09:00,0
LSK,09:00,3.483870968
STAR,09:00,0
LG1,09:30,89.25806452
LG7,09:30,40.51612903
McD,09:30,16.09677419
CHI,09:30,0.032258065
LSK,09:30,3.612903226
STAR,09:30,0
LG1,10:00,79.41935484
LG7,10:00,37.32258065
McD,10:00,18.74193548
CHI,10:00,0.064516129
LSK,10:00,4
STAR,10:00,0
